"Symbols"
"EURUYU"
"EURUZS"
"EURVND"
"EURYER"
"EURZAR""Symbols"
"FJDGBP"
"FJDUSD""Symbols"
"GBPAED"
"GBPALL"
"GBPARS"
"GBPAUD"
"GBPBDT"
"GBPBGN"
"GBPBHD"
"GBPBIF"
"GBPBMD"
"GBPBND"
"GBPBRL"
"GBPBWP"
"GBPCAD"
"GBPCHF"
"GBPCLP"
"GBPCNH"
"GBPCNY"
"GBPCOP"
"GBPCRC"
"GBPCZK"
"GBPDJF"
"GBPDKK"
"GBPDOP"
"GBPDZD"
"GBPEGP"
"GBPETB"
"GBPEUR"
"GBPFJD"
"GBPGTQ"
"GBPHKD"
"GBPHNL"
"GBPHRK"
"GBPHTG"
"GBPHUF"
"GBPIDR"
"GBPILS"
"GBPINR"
"GBPIQD"
"GBPISK"
"GBPJMD"
"GBPJOD"
"GBPJPY"
"GBPKES"
"GBPKRW"
"GBPKWD"
"GBPKZT"
"GBPLBP"
"GBPLKR"
"GBPMAD"
"GBPMUR"
"GBPMVR"
"GBPMWK"
"GBPMXN"
"GBPMYR"
"GBPNGN"
"GBPNIO"
"GBPNOK"
"GBPNZD"
"GBPOMR"
"GBPPEN"
"GBPPGK"
"GBPPHP"
"GBPPKR"
"GBPPLN"
"GBPQAR"
"GBPRON"
"GBPRSD"
"GBPRUB"
"GBPSAR"
"GBPSCR"
"GBPSEK"
"GBPSGD"
"GBPSZL"
"GBPTHB"
"GBPTND"
"GBPTRY"
"GBPTTD"
"GBPTWD"
"GBPUAH"
"GBPUGX"
"GBPUSD"
"GBPVND"
"GBPXAF"
"GBPXCD"
"GBPXPF"
"GBPZAR"
"GHSEUR"
"GHSUSD"
"GTQGBP""Symbols"
"HKDARS"
"HKDAUD"
"HKDBRL"
"HKDCAD"
"HKDCHF"
"HKDCNY"
"HKDDKK"
"HKDEUR"
"HKDGBP"
"HKDIDR"
"HKDINR"
"HKDJPY"
"HKDKRW"
"HKDMXN"
"HKDMYR"
"HKDNZD"
"HKDPKR"
"HKDPLN"
"HKDSEK"
"HKDSGD"
"HKDTHB"
"HKDTWD"
"HKDUSD"
"HKDZAR"
"HNLGBP"
"HRKEUR"
"HRKPLN"
"HRKUSD"
"HTGGBP"
"HUFCHF"
"HUFDKK"
"HUFEUR"
"HUFPLN"
"HUFUSD""Symbols"
"IDRAUD"
"IDRCAD"
"IDRCHF"
"IDRCNY"
"IDREUR"
"IDRGBP"
"IDRHKD"
"IDRINR"
"IDRJPY"
"IDRKRW"
"IDRMYR"
"IDRNZD"
"IDRSGD"
"IDRTHB"
"IDRTWD"
"IDRUSD"
"IDRZAR"
"ILSAUD"
"ILSCAD"
"ILSCHF"
"ILSJOD"
"ILSJPY"
"ILSPLN"
"ILSSEK"
"ILSUSD"
"INRAUD"
"INRCAD"
"INRCHF"
"INRCNY"
"INREUR"
"INRGBP"
"INRHKD"
"INRJPY"
"INRKRW"
"INRMYR"
"INRNZD"
"INRPKR"
"INRSEK"
"INRTHB"
"INRTWD"
"INRUSD"
"INRZAR"
"IQDGBP"
"ISKCHF"
"ISKDKK"
"ISKGBP""Symbols"
"JMDGBP"
"JODAED"
"JODEUR"
"JODILS"
"JODUSD"
"JPYAED"
"JPYARS"
"JPYAUD"
"JPYBRL"
"JPYCAD"
"JPYCHF"
"JPYCLP"
"JPYCNY"
"JPYCZK"
"JPYDKK"
"JPYEUR"
"JPYGBP"
"JPYHKD"
"JPYIDR"
"JPYILS"
"JPYINR"
"JPYKRW"
"JPYMXN"
"JPYMYR"
"JPYNOK"
"JPYNZD"
"JPYPKR"
"JPYPLN"
"JPYRUB"
"JPYSEK"
"JPYTHB"
"JPYTWD"
"JPYUSD"
"JPYZAR""Symbols"
"KESEUR"
"KESUSD"
"KESZAR"
"KMFUSD"
"KRWAUD"
"KRWBRL"
"KRWCAD"
"KRWCHF"
"KRWCNY"
"KRWEUR"
"KRWHKD"
"KRWIDR"
"KRWINR"
"KRWJPY"
"KRWMYR"
"KRWNZD"
"KRWRUB"
"KRWSEK"
"KRWSGD"
"KRWTHB"
"KRWTWD"
"KRWUSD"
"KRWZAR"
"KWDAED"
"KWDGBP"
"KWDPKR"
"KWDUSD"
"KZTGBP""Symbols"
"LBPUSD"
"LKRUSD"
"LRDUSD""Symbols"
"MADGBP"
"MADUSD"
"MDLEUR"
"MDLUSD"
"MKDUSD"
"MUREUR"
"MURGBP"
"MURUSD"
"MURZAR"
"MVRUSD"
"MWKGBP"
"MXNARS"
"MXNAUD"
"MXNBRL"
"MXNCAD"
"MXNCHF"
"MXNCZK"
"MXNDKK"
"MXNEUR"
"MXNGBP"
"MXNHKD"
"MXNJPY"
"MXNSGD"
"MXNUSD"
"MXNZAR"
"MYRAUD"
"MYRCAD"
"MYRCHF"
"MYRCNH"
"MYRCNY"
"MYRDKK"
"MYREUR"
"MYRGBP"
"MYRHKD"
"MYRIDR"
"MYRINR"
"MYRJPY"
"MYRKRW"
"MYRNZD"
"MYRPKR"
"MYRSGD"
"MYRTHB"
"MYRTWD"
"MYRUSD"
"MYRZAR""Symbols"
"NGNGBP"
"NGNJPY"
"NIOGBP"
"NOKCAD"
"NOKCHF"
"NOKCNH"
"NOKDKK"
"NOKEUR"
"NOKGBP"
"NOKINR"
"NOKJPY"
"NOKPLN"
"NOKSEK"
"NOKUSD"
"NOKZAR"
"NZDAED"
"NZDAUD"
"NZDCAD"
"NZDCHF"
"NZDCNH"
"NZDCNY"
"NZDCZK"
"NZDDKK"
"NZDEUR"
"NZDGBP"
"NZDHKD"
"NZDHUF"
"NZDIDR"
"NZDINR"
"NZDJPY"
"NZDKRW"
"NZDMXN"
"NZDMYR"
"NZDNOK"
"NZDPKR"
"NZDPLN"
"NZDSEK"
"NZDSGD"
"NZDTHB"
"NZDTRY"
"NZDTWD"
"NZDUSD"
"NZDZAR""Symbols"
"OMRAED"
"OMRGBP"
"OMRPKR"
"OMRUSD"
"OMRZAR""Symbols"
"PENGBP"
"PGKGBP"
"PHPDKK"
"PHPGBP"
"PHPJPY"
"PHPUSD"
"PKRGBP"
"PKRJPY"
"PKRZAR"
"PLNCHF"
"PLNCZK"
"PLNDKK"
"PLNEUR"
"PLNGBP"
"PLNHUF"
"PLNILS"
"PLNJPY"
"PLNNOK"
"PLNSEK"
"PLNUSD""Symbols"
"QARAED"
"QARGBP"
"QARPKR"
"QARUSD"
"QARZAR""Symbols"
"RONCHF"
"RONGBP"
"RONUSD"
"RSDUSD"
"RUBCHF"
"RUBGBP"
"RUBJPY"
"RUBKRW"
"RUBPLN"
"RUBUSD""Symbols"
"SAREUR"
"SARPKR"
"SARUSD"
"SCRGBP"
"SCRUSD"
"SEKAUD"
"SEKCAD"
"SEKCHF"
"SEKCNH"
"SEKCZK"
"SEKDKK"
"SEKEUR"
"SEKGBP"
"SEKILS"
"SEKINR"
"SEKJPY"
"SEKNOK"
"SEKPLN"
"SEKUSD"
"SEKZAR"
"SGDAED"
"SGDARS"
"SGDAUD"
"SGDBRL"
"SGDCAD"
"SGDCHF"
"SGDCNH"
"SGDCNY"
"SGDDKK"
"SGDEUR"
"SGDGBP"
"SGDHKD"
"SGDIDR"
"SGDINR"
"SGDJPY"
"SGDKRW"
"SGDMXN"
"SGDMYR"
"SGDNZD"
"SGDPKR"
"SGDPLN"
"SGDSEK"
"SGDTHB"
"SGDTWD"
"SGDUSD"
"SGDZAR"
"SHPUSD"
"SLLUSD"
"SZLCHF"
"SZLEUR"
"SZLGBP"
"SZLUSD""Symbols"
"THBAUD"
"THBCAD"
"THBCHF"
"THBCNY"
"THBEUR"
"THBGBP"
"THBHKD"
"THBIDR"
"THBINR"
"THBJPY"
"THBKRW"
"THBMYR"
"THBNZD"
"THBPKR"
"THBSGD"
"THBTWD"
"THBUSD"
"THBZAR"
"TNDGBP"
"TNDUSD"
"TRYCHF"
"TRYDKK"
"TRYJPY"
"TRYPLN"
"TRYUSD"
"TRYZAR"
"TTDGBP"
"TWDAUD"
"TWDCAD"
"TWDCHF"
"TWDCNY"
"TWDDKK"
"TWDHKD"
"TWDIDR"
"TWDINR"
"TWDJPY"
"TWDKRW"
"TWDMYR"
"TWDNZD"
"TWDPKR"
"TWDSEK"
"TWDSGD"
"TWDTHB"
"TWDUSD"
"TWDZAR"
"TZSZAR""Symbols"
"UAHDKK"
"UAHEUR"
"UAHUSD"
"USDAED"
"USDAFN"
"USDALL"
"USDAMD"
"USDARS"
"USDAUD"
"USDAWG"
"USDBDT"
"USDBGN"
"USDBHD"
"USDBIF"
"USDBND"
"USDBOB"
"USDBRL"
"USDBWP"
"USDBZD"
"USDCAD"
"USDCDF"
"USDCHF"
"USDCLP"
"USDCNH"
"USDCNY"
"USDCOP"
"USDCRC"
"USDCUP"
"USDCVE"
"USDCZK"
"USDDJF"
"USDDKK"
"USDDOP"
"USDDZD"
"USDEGP"
"USDETB"
"USDEUR"
"USDFJD"
"USDGBP"
"USDGEL"
"USDGHS"
"USDGMD"
"USDGNF"
"USDGTQ"
"USDHKD"
"USDHNL"
"USDHRK"
"USDHTG"
"USDHUF"
"USDIDR"
"USDILS"
"USDINR"
"USDIQD"
"USDISK"
"USDJOD"
"USDJPY"
"USDKES"
"USDKHR"
"USDKMF"
"USDKRW"
"USDKWD"
"USDKZT"
"USDLAK"
"USDLBP"
"USDLKR"
"USDLRD"
"USDLSL"
"USDLYD"
"USDMAD"
"USDMDL"
"USDMKD"
"USDMMK"
"USDMOP"
"USDMUR"
"USDMVR"
"USDMWK"
"USDMXN"
"USDMYR"
"USDNAD"
"USDNGN"
"USDNIO"
"USDNOK"
"USDNPR"
"USDNZD"
"USDOMR"
"USDPAB"
"USDPEN"
"USDPGK"
"USDPHP"
"USDPKR"
"USDPLN"
"USDPYG"
"USDQAR"
"USDRON"
"USDRSD"
"USDRUB"
"USDRWF"
"USDSAR"
"USDSCR"
"USDSEK"
"USDSGD"
"USDSLL"
"USDSOS"
"USDSVC"
"USDSZL"
"USDTHB"
"USDTND"
"USDTRY"
"USDTWD"
"USDTZS"
"USDUAH"
"USDUYU"
"USDUZS"
"USDVND"
"USDXAF"
"USDXOF"
"USDXPF"
"USDYER"
"USDZAR"
"UYUEUR"
"UYUUSD""Symbols"
"VNDJPY"
"VNDXAF""Symbols"
"AEDAUD"
"AEDCAD"
"AEDCHF"
"AEDDKK"
"AEDEUR"
"AEDGBP"
"AEDINR"
"AEDJPY"
"AEDNOK"
"AEDNZD"
"AEDPKR"
"AEDSAR"
"AEDSEK"
"AEDUSD"
"AEDZAR"
"ALLGBP"
"ARSAUD"
"ARSBRL"
"ARSCAD"
"ARSCHF"
"ARSEUR"
"ARSGBP"
"ARSHKD"
"ARSJPY"
"ARSMXN"
"ARSSGD"
"ARSUSD"
"ARSZAR"
"AUDAED"
"AUDARS"
"AUDBRL"
"AUDCAD"
"AUDCHF"
"AUDCNH"
"AUDCNY"
"AUDCZK"
"AUDDKK"
"AUDEUR"
"AUDFJD"
"AUDGBP"
"AUDHKD"
"AUDHUF"
"AUDIDR"
"AUDILS"
"AUDINR"
"AUDJPY"
"AUDKRW"
"AUDMXN"
"AUDMYR"
"AUDNOK"
"AUDNZD"
"AUDPHP"
"AUDPKR"
"AUDPLN"
"AUDSEK"
"AUDSGD"
"AUDTHB"
"AUDTRY"
"AUDTWD"
"AUDUSD"
"AUDZAR"
"AWGUSD""Symbols"
"XAGARS"
"XAGAUD"
"XAGBRL"
"XAGCAD"
"XAGCHF"
"XAGCNY"
"XAGEUR"
"XAGGBP"
"XAGHKD"
"XAGINR"
"XAGJPY"
"XAGKRW"
"XAGMXN"
"XAGRUB"
"XAGSAR"
"XAGTRY"
"XAGUSD"
"XAGZAR"
"XAUARS"
"XAUAUD"
"XAUBRL"
"XAUCAD"
"XAUCHF"
"XAUCNY"
"XAUEUR"
"XAUGBP"
"XAUHKD"
"XAUINR"
"XAUJPY"
"XAUMXN"
"XAURUB"
"XAUSAR"
"XAUTHB"
"XAUTRY"
"XAUUSD"
"XAUZAR"
"XCDGBP"
"XPDEUR"
"XPDGBP"
"XPDUSD"
"XPFGBP"
"XPTEUR"
"XPTGBP"
"XPTUSD""Symbols"
"YERUSD""Symbols"
"ZARAED"
"ZARARS"
"ZARAUD"
"ZARBRL"
"ZARBWP"
"ZARCAD"
"ZARCHF"
"ZARCNY"
"ZARCYP"
"ZARDKK"
"ZAREUR"
"ZARGBP"
"ZARHKD"
"ZARIDR"
"ZARINR"
"ZARJPY"
"ZARKES"
"ZARKRW"
"ZARMUR"
"ZARMXN"
"ZARMYR"
"ZARNOK"
"ZARNZD"
"ZAROMR"
"ZARPHP"
"ZARPKR"
"ZARPLN"
"ZARSEK"
"ZARSGD"
"ZARTHB"
"ZARTRY"
"ZARTWD"
"ZARUSD"
